GO.ID,Term,Annotated,Significant,Expected,classic
GO:0030507,spectrin binding,7,6,0.19,4.1e-05
GO:0032029,myosin tail binding,7,6,0.19,4.1e-05
GO:0032036,myosin heavy chain binding,7,6,0.19,4.1e-05
GO:0045505,dynein intermediate chain binding,14,8,0.37,0.00017
GO:0034452,dynactin binding,9,6,0.24,0.00039
GO:0043621,protein self-association,14,7,0.37,0.00129
GO:0005048,signal sequence binding,5,4,0.13,0.00158
GO:0008139,nuclear localization sequence binding,5,4,0.13,0.00158
GO:0017160,Ral GTPase binding,11,6,0.29,0.00166
GO:0004385,guanylate kinase activity,6,4,0.16,0.00422
GO:0016776,phosphotransferase activity, phosphate g...,6,4,0.16,0.00422
GO:0050145,nucleoside monophosphate kinase activity,6,4,0.16,0.00422
GO:0017022,myosin binding,17,7,0.45,0.00503
GO:0017056,structural constituent of nuclear pore,7,4,0.19,0.00879
GO:0019205,nucleobase-containing compound kinase ac...,7,4,0.19,0.00879
GO:0042277,peptide binding,8,4,0.21,0.01567
GO:0042043,neurexin family protein binding,12,5,0.32,0.01667
GO:0019894,kinesin binding,19,6,0.51,0.03681
GO:0048365,Rac GTPase binding,19,6,0.51,0.03681
GO:0019838,growth factor binding,8,3,0.21,0.08496
GO:0008047,enzyme activator activity,46,10,1.23,0.09131
GO:0001965,G-protein alpha-subunit binding,4,2,0.11,0.09349
GO:0001972,retinoic acid binding,4,2,0.11,0.09349
GO:0005010,insulin-like growth factor-activated rec...,4,2,0.11,0.09349
GO:0005501,retinoid binding,4,2,0.11,0.09349
GO:0005520,insulin-like growth factor binding,4,2,0.11,0.09349
GO:0005537,mannose binding,4,2,0.11,0.09349
GO:0019840,isoprenoid binding,4,2,0.11,0.09349
GO:0031995,insulin-like growth factor II binding,4,2,0.11,0.09349
GO:0048029,monosaccharide binding,4,2,0.11,0.09349
GO:0005096,GTPase activator activity,35,8,0.94,0.09792
GO:0030695,GTPase regulator activity,35,8,0.94,0.09792
GO:0060589,nucleoside-triphosphatase regulator acti...,36,8,0.96,0.11151
GO:0033218,amide binding,14,4,0.37,0.11457
GO:0000217,DNA secondary structure binding,1,1,0.03,0.13733
GO:0000400,four-way junction DNA binding,1,1,0.03,0.13733
GO:0000403,Y-form DNA binding,1,1,0.03,0.13733
GO:0000405,bubble DNA binding,1,1,0.03,0.13733
GO:0005527,macrolide binding,1,1,0.03,0.13733
GO:0005528,FK506 binding,1,1,0.03,0.13733
GO:0009378,four-way junction helicase activity,1,1,0.03,0.13733
GO:0016597,amino acid binding,1,1,0.03,0.13733
GO:0032356,oxidized DNA binding,1,1,0.03,0.13733
GO:0032357,oxidized purine DNA binding,1,1,0.03,0.13733
GO:0051880,G-quadruplex DNA binding,1,1,0.03,0.13733
GO:0061749,forked DNA-dependent helicase activity,1,1,0.03,0.13733
GO:0061821,telomeric D-loop binding,1,1,0.03,0.13733
GO:0061849,telomeric G-quadruplex DNA binding,1,1,0.03,0.13733
GO:0062037,D-loop DNA binding,1,1,0.03,0.13733
GO:0070336,flap-structured DNA binding,1,1,0.03,0.13733
GO:0070337,3'-flap-structured DNA binding,1,1,0.03,0.13733
GO:0070728,leucine binding,1,1,0.03,0.13733
GO:1905773,8-hydroxy-2'-deoxyguanosine DNA binding,1,1,0.03,0.13733
GO:0000287,magnesium ion binding,15,4,0.4,0.14006
GO:0000980,RNA polymerase II distal enhancer sequen...,5,2,0.13,0.14192
GO:0001158,enhancer sequence-specific DNA binding,5,2,0.13,0.14192
GO:0001205,distal enhancer DNA-binding transcriptio...,5,2,0.13,0.14192
GO:0003705,transcription factor activity, RNA polym...,5,2,0.13,0.14192
GO:0004930,G protein-coupled receptor activity,5,2,0.13,0.14192
GO:0035326,enhancer binding,5,2,0.13,0.14192
GO:0004714,transmembrane receptor protein tyrosine ...,10,3,0.27,0.14800
GO:0019199,transmembrane receptor protein kinase ac...,10,3,0.27,0.14800
GO:0051959,dynein light intermediate chain binding,10,3,0.27,0.14800
GO:0016773,phosphotransferase activity, alcohol gro...,77,14,2.06,0.16487
GO:0004672,protein kinase activity,72,13,1.92,0.18262
GO:0031406,carboxylic acid binding,11,3,0.29,0.18375
GO:0043177,organic acid binding,11,3,0.29,0.18375
GO:0004866,endopeptidase inhibitor activity,6,2,0.16,0.19415
GO:0004869,cysteine-type endopeptidase inhibitor ac...,6,2,0.16,0.19415
GO:0008569,ATP-dependent microtubule motor activity...,6,2,0.16,0.19415
GO:0030414,peptidase inhibitor activity,6,2,0.16,0.19415
GO:0043027,cysteine-type endopeptidase inhibitor ac...,6,2,0.16,0.19415
GO:0043028,cysteine-type endopeptidase regulator ac...,6,2,0.16,0.19415
GO:0051219,phosphoprotein binding,6,2,0.16,0.19415
GO:0061135,endopeptidase regulator activity,6,2,0.16,0.19415
GO:1990939,ATP-dependent microtubule motor activity,6,2,0.16,0.19415
GO:0030234,enzyme regulator activity,86,15,2.3,0.19602
GO:0004713,protein tyrosine kinase activity,12,3,0.32,0.22145
GO:0016887,ATPase activity,76,13,2.03,0.23889
GO:0016301,kinase activity,83,14,2.22,0.24430
GO:0005516,calmodulin binding,31,6,0.83,0.24644
GO:0030246,carbohydrate binding,7,2,0.19,0.24822
GO:0030674,protein binding, bridging,7,2,0.19,0.24822
GO:0045503,dynein light chain binding,7,2,0.19,0.24822
GO:0060090,molecular adaptor activity,7,2,0.19,0.24822
GO:0061134,peptidase regulator activity,7,2,0.19,0.24822
GO:0003689,DNA clamp loader activity,2,1,0.05,0.25581
GO:0003933,GTP cyclohydrolase activity,2,1,0.05,0.25581
GO:0003934,GTP cyclohydrolase I activity,2,1,0.05,0.25581
GO:0004306,ethanolamine-phosphate cytidylyltransfer...,2,1,0.05,0.25581
GO:0005247,voltage-gated chloride channel activity,2,1,0.05,0.25581
GO:0005484,SNAP receptor activity,2,1,0.05,0.25581
GO:0008308,voltage-gated anion channel activity,2,1,0.05,0.25581
GO:0031369,translation initiation factor binding,2,1,0.05,0.25581
GO:0033170,protein-DNA loading ATPase activity,2,1,0.05,0.25581
GO:0051019,mitogen-activated protein kinase binding,2,1,0.05,0.25581
GO:0070567,cytidylyltransferase activity,2,1,0.05,0.25581
GO:0003779,actin binding,95,15,2.54,0.32171
GO:0016772,transferase activity, transferring phosp...,96,15,2.57,0.33688
GO:0004888,transmembrane signaling receptor activit...,15,3,0.4,0.34032
GO:0004674,protein serine/threonine kinase activity,62,10,1.66,0.34373
GO:0003755,peptidyl-prolyl cis-trans isomerase acti...,3,1,0.08,0.35803
GO:0003951,NAD+ kinase activity,3,1,0.08,0.35803
GO:0004040,amidase activity,3,1,0.08,0.35803
GO:0004143,diacylglycerol kinase activity,3,1,0.08,0.35803
GO:0005253,anion channel activity,3,1,0.08,0.35803
GO:0005254,chloride channel activity,3,1,0.08,0.35803
GO:0015108,chloride transmembrane transporter activ...,3,1,0.08,0.35803
GO:0016814,hydrolase activity, acting on carbon-nit...,3,1,0.08,0.35803
GO:0016859,cis-trans isomerase activity,3,1,0.08,0.35803
GO:0017064,fatty acid amide hydrolase activity,3,1,0.08,0.35803
GO:0019238,cyclohydrolase activity,3,1,0.08,0.35803
GO:0043014,alpha-tubulin binding,3,1,0.08,0.35803
GO:0043140,ATP-dependent 3'-5' DNA helicase activit...,3,1,0.08,0.35803
GO:0047372,acylglycerol lipase activity,3,1,0.08,0.35803
GO:0052689,carboxylic ester hydrolase activity,3,1,0.08,0.35803
GO:0102077,oleamide hydrolase activity,3,1,0.08,0.35803
GO:0103073,anandamide amidohydrolase activity,3,1,0.08,0.35803
GO:0016810,hydrolase activity, acting on carbon-nit...,16,3,0.43,0.38019
GO:0033293,monocarboxylic acid binding,10,2,0.27,0.40838
GO:0003777,microtubule motor activity,24,4,0.64,0.42344
GO:0004857,enzyme inhibitor activity,24,4,0.64,0.42344
GO:0098772,molecular function regulator,152,22,4.06,0.43038
GO:0000225,N-acetylglucosaminylphosphatidylinositol...,4,1,0.11,0.44620
GO:0017134,fibroblast growth factor binding,4,1,0.11,0.44620
GO:0030506,ankyrin binding,4,1,0.11,0.44620
GO:0032404,mismatch repair complex binding,4,1,0.11,0.44620
GO:0032405,MutLalpha complex binding,4,1,0.11,0.44620
GO:0032407,MutSalpha complex binding,4,1,0.11,0.44620
GO:0043138,3'-5' DNA helicase activity,4,1,0.11,0.44620
GO:0045296,cadherin binding,18,3,0.48,0.45793
GO:0050839,cell adhesion molecule binding,18,3,0.48,0.45793
GO:0005548,phospholipid transporter activity,11,2,0.29,0.45830
GO:0017128,phospholipid scramblase activity,11,2,0.29,0.45830
GO:0017016,Ras GTPase binding,134,19,3.58,0.47819
GO:0031267,small GTPase binding,134,19,3.58,0.47819
GO:0005215,transporter activity,69,10,1.84,0.47966
GO:0005198,structural molecule activity,26,4,0.69,0.48757
GO:0051020,GTPase binding,135,19,3.61,0.49198
GO:0038023,signaling receptor activity,19,3,0.51,0.49523
GO:0060089,molecular transducer activity,19,3,0.51,0.49523
GO:0042803,protein homodimerization activity,34,5,0.91,0.50899
GO:0004197,cysteine-type endopeptidase activity,5,1,0.13,0.52227
GO:0010314,phosphatidylinositol-5-phosphate binding,5,1,0.13,0.52227
GO:0016176,superoxide-generating NADPH oxidase acti...,5,1,0.13,0.52227
GO:0016853,isomerase activity,5,1,0.13,0.52227
GO:0030145,manganese ion binding,5,1,0.13,0.52227
GO:0032027,myosin light chain binding,5,1,0.13,0.52227
GO:0032266,phosphatidylinositol-3-phosphate binding,5,1,0.13,0.52227
GO:0034584,piRNA binding,5,1,0.13,0.52227
GO:0042162,telomeric DNA binding,5,1,0.13,0.52227
GO:0042169,SH2 domain binding,5,1,0.13,0.52227
GO:0051879,Hsp90 protein binding,5,1,0.13,0.52227
GO:0070273,phosphatidylinositol-4-phosphate binding,5,1,0.13,0.52227
GO:0070853,myosin VI binding,5,1,0.13,0.52227
GO:0070856,myosin VI light chain binding,5,1,0.13,0.52227
GO:0080025,phosphatidylinositol-3,5-bisphosphate bi...,5,1,0.13,0.52227
GO:0008094,DNA-dependent ATPase activity,20,3,0.53,0.53120
GO:0051015,actin filament binding,20,3,0.53,0.53120
GO:0005319,lipid transporter activity,13,2,0.35,0.55025
GO:0016811,hydrolase activity, acting on carbon-nit...,13,2,0.35,0.55025
GO:0004704,NF-kappaB-inducing kinase activity,6,1,0.16,0.58790
GO:0005244,voltage-gated ion channel activity,6,1,0.16,0.58790
GO:0019992,diacylglycerol binding,6,1,0.16,0.58790
GO:0022832,voltage-gated channel activity,6,1,0.16,0.58790
GO:0030898,actin-dependent ATPase activity,6,1,0.16,0.58790
GO:1902936,phosphatidylinositol bisphosphate bindin...,6,1,0.16,0.58790
GO:0050750,low-density lipoprotein particle recepto...,14,2,0.37,0.59192
GO:0070325,lipoprotein particle receptor binding,14,2,0.37,0.59192
GO:0003774,motor activity,46,6,1.23,0.61894
GO:0008289,lipid binding,46,6,1.23,0.61894
GO:0008408,3'-5' exonuclease activity,7,1,0.19,0.64451
GO:0030742,GTP-dependent protein binding,7,1,0.19,0.64451
GO:0019904,protein domain specific binding,48,6,1.28,0.66131
GO:0022857,transmembrane transporter activity,48,6,1.28,0.66131
GO:0003678,DNA helicase activity,16,2,0.43,0.66640
GO:0004003,ATP-dependent DNA helicase activity,8,1,0.21,0.69335
GO:0004843,thiol-dependent ubiquitin-specific prote...,8,1,0.21,0.69335
GO:0008026,ATP-dependent helicase activity,8,1,0.21,0.69335
GO:0015103,inorganic anion transmembrane transporte...,8,1,0.21,0.69335
GO:0019783,ubiquitin-like protein-specific protease...,8,1,0.21,0.69335
GO:0036459,thiol-dependent ubiquitinyl hydrolase ac...,8,1,0.21,0.69335
GO:0070035,purine NTP-dependent helicase activity,8,1,0.21,0.69335
GO:0101005,ubiquitinyl hydrolase activity,8,1,0.21,0.69335
GO:0016462,pyrophosphatase activity,128,16,3.42,0.69596
GO:0016817,hydrolase activity, acting on acid anhyd...,128,16,3.42,0.69596
GO:0016818,hydrolase activity, acting on acid anhyd...,128,16,3.42,0.69596
GO:0017111,nucleoside-triphosphatase activity,128,16,3.42,0.69596
GO:0035091,phosphatidylinositol binding,17,2,0.45,0.69932
GO:0071889,14-3-3 protein binding,17,2,0.45,0.69932
GO:0042623,ATPase activity, coupled,58,7,1.55,0.70070
GO:0005102,signaling receptor binding,59,7,1.58,0.71792
GO:0001228,DNA-binding transcription activator acti...,18,2,0.48,0.72949
GO:0000149,SNARE binding,9,1,0.24,0.73548
GO:0004175,endopeptidase activity,9,1,0.24,0.73548
GO:0008234,cysteine-type peptidase activity,9,1,0.24,0.73548
GO:0030276,clathrin binding,9,1,0.24,0.73548
GO:0019899,enzyme binding,217,27,5.8,0.73919
GO:0046983,protein dimerization activity,53,6,1.42,0.75354
GO:0015631,tubulin binding,54,6,1.44,0.76958
GO:0004527,exonuclease activity,10,1,0.27,0.77182
GO:0005216,ion channel activity,10,1,0.27,0.77182
GO:0015267,channel activity,10,1,0.27,0.77182
GO:0017124,SH3 domain binding,10,1,0.27,0.77182
GO:0022803,passive transmembrane transporter activi...,10,1,0.27,0.77182
GO:0022836,gated channel activity,10,1,0.27,0.77182
GO:0022838,substrate-specific channel activity,10,1,0.27,0.77182
GO:0022839,ion gated channel activity,10,1,0.27,0.77182
GO:0047485,protein N-terminus binding,10,1,0.27,0.77182
GO:1901981,phosphatidylinositol phosphate binding,10,1,0.27,0.77182
GO:0005085,guanyl-nucleotide exchange factor activi...,79,9,2.11,0.77429
GO:0005088,Ras guanyl-nucleotide exchange factor ac...,79,9,2.11,0.77429
GO:0005543,phospholipid binding,20,2,0.53,0.78215
GO:0019208,phosphatase regulator activity,20,2,0.53,0.78215
GO:0008017,microtubule binding,47,5,1.26,0.79196
GO:0003684,damaged DNA binding,11,1,0.29,0.80317
GO:0004518,nuclease activity,11,1,0.29,0.80317
GO:0008509,anion transmembrane transporter activity,11,1,0.29,0.80317
GO:0031072,heat shock protein binding,11,1,0.29,0.80317
GO:0003924,GTPase activity,12,1,0.32,0.83022
GO:0030165,PDZ domain binding,12,1,0.32,0.83022
GO:0030676,Rac guanyl-nucleotide exchange factor ac...,12,1,0.32,0.83022
GO:0019901,protein kinase binding,59,6,1.58,0.83820
GO:0019900,kinase binding,68,7,1.82,0.84241
GO:0000977,RNA polymerase II regulatory region sequ...,23,2,0.61,0.84423
GO:0001012,RNA polymerase II regulatory region DNA ...,23,2,0.61,0.84423
GO:0017048,Rho GTPase binding,94,10,2.51,0.84798
GO:0008092,cytoskeletal protein binding,160,18,4.28,0.84954
GO:0016779,nucleotidyltransferase activity,13,1,0.35,0.85355
GO:0043422,protein kinase B binding,14,1,0.37,0.87367
GO:0008270,zinc ion binding,89,9,2.38,0.87800
GO:0042802,identical protein binding,90,9,2.41,0.88579
GO:0140097,catalytic activity, acting on DNA,26,2,0.69,0.88979
GO:0000146,microfilament motor activity,15,1,0.4,0.89103
GO:0046982,protein heterodimerization activity,15,1,0.4,0.89103
GO:0140096,catalytic activity, acting on a protein,167,18,4.46,0.89312
GO:0019213,deacetylase activity,16,1,0.43,0.90601
GO:0004842,ubiquitin-protein transferase activity,38,3,1.02,0.90949
GO:0019787,ubiquitin-like protein transferase activ...,38,3,1.02,0.90949
GO:0044877,protein-containing complex binding,48,4,1.28,0.91115
GO:0004386,helicase activity,39,3,1.04,0.91841
GO:0008233,peptidase activity,17,1,0.45,0.91893
GO:0016298,lipase activity,17,1,0.45,0.91893
GO:0070011,peptidase activity, acting on L-amino ac...,17,1,0.45,0.91893
GO:0005524,ATP binding,206,22,5.51,0.92033
GO:0008022,protein C-terminus binding,29,2,0.78,0.92271
GO:0046914,transition metal ion binding,105,10,2.81,0.92504
GO:0000981,DNA-binding transcription factor activit...,30,2,0.8,0.93144
GO:0032559,adenyl ribonucleotide binding,210,22,5.61,0.93479
GO:0030554,adenyl nucleotide binding,212,22,5.67,0.94116
GO:0008144,drug binding,221,23,5.91,0.94297
GO:0001883,purine nucleoside binding,20,1,0.53,0.94797
GO:0005525,GTP binding,20,1,0.53,0.94797
GO:0017137,Rab GTPase binding,20,1,0.53,0.94797
GO:0019001,guanyl nucleotide binding,20,1,0.53,0.94797
